id,id_loc,province_state,country_region,lat,long,date,confirmed_to_date,new_confirmed,deaths_to_date,new_deaths,recovered_to_date,new_recovered
2034,130,,Senegal,14.4974,-14.4524,2020-02-02,0,0,0,0,0,0
2035,131,"Grafton County, NH",US,43.9088,-71.82600000000002,2020-02-02,0,0,0,0,0,0
2036,132,"Hillsborough, FL",US,27.9904,-82.3018,2020-02-02,0,0,0,0,0,0
2037,133,"New York City, NY",US,40.7128,-74.006,2020-02-02,0,0,0,0,0,0
2038,134,"Placer County, CA",US,39.0916,-120.8039,2020-02-02,0,0,0,0,0,0
2039,135,"San Mateo, CA",US,37.563,-122.3255,2020-02-02,0,0,0,0,0,0
2040,136,"Sarasota, FL",US,27.3364,-82.5307,2020-02-02,0,0,0,0,0,0
2041,137,"Sonoma County, CA",US,38.578,-122.9888,2020-02-02,0,0,0,0,0,0
2042,138,"Umatilla, OR",US,45.775,-118.7606,2020-02-02,0,0,0,0,0,0
2043,139,"Fulton County, GA",US,33.8034,-84.3963,2020-02-02,0,0,0,0,0,0
2044,140,"Washington County, OR",US,45.547,-123.1386,2020-02-02,0,0,0,0,0,0
2045,141,,Argentina,-38.4161,-63.6167,2020-02-02,0,0,0,0,0,0
2046,142,,Chile,-35.6751,-71.543,2020-02-02,0,0,0,0,0,0
2047,143,,Jordan,31.24,36.51,2020-02-02,0,0,0,0,0,0
2048,144," Norfolk County, MA",US,42.1767,-71.1449,2020-02-02,0,0,0,0,0,0
2049,145,"Berkeley, CA",US,37.8715,-122.273,2020-02-02,0,0,0,0,0,0
2050,146,"Maricopa County, AZ",US,33.2918,-112.4291,2020-02-02,0,0,0,0,0,0
2051,147,"Wake County, NC",US,35.8032,-78.5661,2020-02-02,0,0,0,0,0,0
2052,148,"Westchester County, NY",US,41.122,-73.7949,2020-02-02,0,0,0,0,0,0
2053,149,,Ukraine,48.3794,31.1656,2020-02-02,0,0,0,0,0,0
2054,150,,Saint Barthelemy,17.9,-62.8333,2020-02-02,0,0,0,0,0,0
2055,151,"Orange County, CA",US,33.7879,-117.8531,2020-02-02,1,0,0,0,0,0
2056,152,,Hungary,47.1625,19.5033,2020-02-02,0,0,0,0,0,0
2057,153,Northern Territory,Australia,-12.4634,130.8456,2020-02-02,0,0,0,0,0,0
2058,154,,Faroe Islands,61.8926,-6.9118,2020-02-02,0,0,0,0,0,0
2059,155,,Gibraltar,36.1408,-5.3536,2020-02-02,0,0,0,0,0,0
2060,156,,Liechtenstein,47.14,9.55,2020-02-02,0,0,0,0,0,0
2061,157,,Poland,51.9194,19.1451,2020-02-02,0,0,0,0,0,0
